class,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31
positive,26.165625,25.9324604455025,25.241075274695447,24.11553027384106,22.59506418340172,20.7328726068907,18.59456022774272,16.256479542368456,13.804352761000885,11.332989723292766,8.948939741484699,6.7803791974362255,5.001975902931577,3.861435425333147,3.5461404387955913,3.834577103995776,4.272217890408329,4.565916188974048,4.589202669810275,4.300490340162556,3.701474293484257,2.81967273570053,1.7007488823292694,0.4203444572258852,1.0471786529037086,2.5128643600446448,3.9637034962935753,5.327344652393228,6.539944665792184,7.545631057120787,8.298463364909981,8.76424076699274
positive,32.76875,31.968203765921622,29.62835469221632,25.930505027780626,21.164734452162087,15.719430084600413,10.10338332160167,5.246357240680783,4.316316069562047,7.405129281912207,10.375895475283942,12.249957587911673,12.82223943881698,12.112845617389915,10.303547863514744,7.768535271787767,5.316957688612916,4.830065905829113,6.986177064467271,9.852325201173036,12.352339073223403,14.052301100737232,14.75090266075522,14.388792303289323,13.023043037732787,10.810304360878861,7.987244389176576,4.847619404284466,1.7337652705103885,1.2550328597293932,3.457185051982447,4.896744352744909
positive,28.662499999999998,28.403577265641037,27.63548084713216,26.383924763219497,24.690778174959085,22.612645458741053,20.21901114466511,17.590116919393036,14.81487736798686,11.989493509148785,9.218499069722187,6.6238744738340865,4.3841135045131905,2.877266948408675,2.7083049832236115,3.5090837727873025,4.402502839294938,5.045064207423141,5.340648889323618,5.273576724781624,4.8672554290862236,4.176345631974386,3.2985224534684234,2.4337401072971514,2.0439780017188838,2.5716860569547655,3.6563804992884053,4.870734159228058,6.019175315816932,6.99836593418733,7.74180188382726,8.205173904559116
positive,20.084374999999998,19.85415615550163,19.17306774283906,18.069790703584584,16.592193518042443,14.808032133262262,12.807540508786733,10.710806855036315,8.686066279095522,6.986152267488806,5.9695875375148315,5.917786037895782,6.672584389714794,7.786037297091599,8.903100911643838,9.822066373898458,10.435378246169373,10.688935264448958,10.562903009605035,10.062605127604469,9.213492701096751,8.057674633318845,6.651047458625261,5.060921447018301,3.3655896959388336,1.6700906737116328,0.6049890590098667,1.839087230515149,3.208725117753415,4.360637707943527,5.2248540467265805,5.759651751223242
positive,21.862499999999997,21.63044958781014,20.94355548961454,19.829460331875605,18.333891703459244,16.520491854429398,14.471463961701799,12.290522250618816,10.111297723457135,8.11669240434945,6.568377812139639,5.7810950967628845,5.8793306197298945,6.581318250699718,7.471703847608711,8.263903822534033,8.801949579851613,9.007903186316412,8.850044114013645,8.327451591487987,7.4621116653591475,6.294151350375997,4.8784810603003255,3.2830067856062057,1.5972566043408756,0.4932820898063129,1.9835164203054891,3.5597155151629556,4.965547964570051,6.129637580688339,6.9994895795269025,7.536969690984681
positive,21.862499999999997,21.615016997930457,20.88160358891799,19.689183323126418,18.0820943399076,16.121606706797323,13.88613578444862,11.473977634118055,9.013816341176312,6.699458392454393,4.892280491044679,4.22595278752927,4.939294926899566,6.324503914513798,7.771460768219555,9.012128986716473,9.929786707804954,10.47171327667012,10.620284230049451,10.382325478961377,9.784179681831512,8.86865629942334,7.692734403612592,6.326071318243087,4.851874408931341,3.3771303987666106,2.088883216325669,1.4891887294885224,1.9871961368775806,2.825629452372289,3.5422594601612465,4.004057948248545
positive,35.5625,34.76156360495979,32.42031163594374,28.719112625002396,23.945278174172635,18.477943693636956,12.785185174091843,7.514946081870595,4.236704895680752,5.416320007731033,7.983586360196572,9.754560532620337,10.313261080960606,9.652411848723933,7.994326302109238,5.903182717054828,4.819110719313263,6.360514347252742,9.368454883641274,12.473279853907387,15.056511076884632,16.7924308722225,17.508947673058955,17.156545299952455,15.79614827661841,13.585938075150407,10.762730727946948,7.61790017174734,4.469818030869437,1.6406746375496262,0.694953991375555,2.104587782697715
positive,47.2625,45.41152304699696,40.152236345721626,32.328077014089374,23.24426524958459,14.644661454866414,9.06411298715796,8.61523750718227,9.812638558224828,9.395404427012185,7.087851898348522,4.973418972741721,7.345944541420949,11.973988881887404,15.974146702242447,18.240430235109738,18.343860199839344,16.337533858420297,12.665718155260286,8.039463755920185,3.2784614269176413,0.8606605081426087,3.815997008100176,5.356241795480219,5.619801027451009,5.1586099791188165,4.865104430581381,5.334654322896746,6.1816348948749145,6.76703170580657,6.852628993377471,6.619992043105366
positive,42.690625000000004,41.497123818933346,38.05400732230954,32.75599810368425,26.206822701193083,19.1543084028408,12.44997737430523,7.193949551647555,5.256915606163444,6.5746678143898185,8.238049634143069,9.412649265766932,10.362384777996319,11.440556143211083,12.666543574788985,13.717670380915962,14.17587388454853,13.736507777713404,12.297347603120954,9.968025703225187,7.034741031461952,3.897626848052178,0.992547157342172,1.294947318722271,2.7092604555349133,3.2282856435315352,3.2280589415114553,3.6490969081612326,5.135920577534939,7.204804263128702,9.171611177969881,10.548420294801385
positive,32.815625,32.16765662198487,30.26762775339312,27.24460890276311,23.306050215294217,18.730226311329613,13.869503381731462,9.212356219755158,5.732764989052415,5.389870274282289,7.596040334653695,9.98185433834375,11.718521170619892,12.598247154927494,12.612018133466256,11.852008537160703,10.474590255261777,8.675147306807757,6.665624344065733,4.655640475665375,2.850562234886973,1.5550492535005813,1.475042770168056,2.3408983476123484,3.425957227410298,4.654897277261441,6.0431251802630985,7.54438650090377,9.050074768666496,10.420953576032327,11.518230846021519,12.226939303700059
